sample_id	date	precision	imputed_date	lower50_date	upper50_date	lower95_date	upper95_date
G3890-1	2014-06-20	precise	2014-06-20	2014-06-20	2014-06-20	2014-06-20	2014-06-20
G3891-1	2014-06-20	precise	2014-06-20	2014-06-20	2014-06-20	2014-06-20	2014-06-20
G3892-1	2014-06-20	precise	2014-06-20	2014-06-20	2014-06-20	2014-06-20	2014-06-20
G3893-1	2014-06-20	precise	2014-06-20	2014-06-20	2014-06-20	2014-06-20	2014-06-20
G3894-1	2014-06-20	precise	2014-06-20	2014-06-20	2014-06-20	2014-06-20	2014-06-20
G3895-1	2014-06-20	precise	2014-06-20	2014-06-20	2014-06-20	2014-06-20	2014-06-20
G3896-1	2014-06-20	precise	2014-06-20	2014-06-20	2014-06-20	2014-06-20	2014-06-20
G3900-1	2014-06-20	precise	2014-06-20	2014-06-20	2014-06-20	2014-06-20	2014-06-20
G3901-2	2014-06-23	precise	2014-06-23	2014-06-23	2014-06-23	2014-06-23	2014-06-23
G3906-1	2014-06-21	precise	2014-06-21	2014-06-21	2014-06-21	2014-06-21	2014-06-21
G3907-1	2014-06-21	precise	2014-06-21	2014-06-21	2014-06-21	2014-06-21	2014-06-21
G3908-1	2014-06-21	precise	2014-06-21	2014-06-21	2014-06-21	2014-06-21	2014-06-21
G3909-1	2014-06-21	precise	2014-06-21	2014-06-21	2014-06-21	2014-06-21	2014-06-21
G3910-1	2014-06-21	precise	2014-06-21	2014-06-21	2014-06-21	2014-06-21	2014-06-21
G3911-1	2014-06-21	precise	2014-06-21	2014-06-21	2014-06-21	2014-06-21	2014-06-21
G3913-1	2014-06-21	precise	2014-06-21	2014-06-21	2014-06-21	2014-06-21	2014-06-21
G3915-1	2014-06-21	precise	2014-06-21	2014-06-21	2014-06-21	2014-06-21	2014-06-21
G3917-1	2014-06-21	precise	2014-06-21	2014-06-21	2014-06-21	2014-06-21	2014-06-21
G3926-2	2014-06-24	precise	2014-06-24	2014-06-24	2014-06-24	2014-06-24	2014-06-24
G3934-2	2014-06-28	precise	2014-06-28	2014-06-28	2014-06-28	2014-06-28	2014-06-28
G3935-2	2014-06-30	precise	2014-06-30	2014-06-30	2014-06-30	2014-06-30	2014-06-30
G3936-1	2014-06-23	precise	2014-06-23	2014-06-23	2014-06-23	2014-06-23	2014-06-23
G3937-1	2014-06-23	precise	2014-06-23	2014-06-23	2014-06-23	2014-06-23	2014-06-23
G3938-3	2014-07-04	precise	2014-07-04	2014-07-04	2014-07-04	2014-07-04	2014-07-04
G3939-1	2014-06-23	precise	2014-06-23	2014-06-23	2014-06-23	2014-06-23	2014-06-23
G3940-1	2014-06-23	precise	2014-06-23	2014-06-23	2014-06-23	2014-06-23	2014-06-23
G3943-1	2014-06-23	precise	2014-06-23	2014-06-23	2014-06-23	2014-06-23	2014-06-23
G3949	2014-06-23	precise	2014-06-23	2014-06-23	2014-06-23	2014-06-23	2014-06-23
G3950	2014-06-23	precise	2014-06-23	2014-06-23	2014-06-23	2014-06-23	2014-06-23
G3951	2014-06-24	precise	2014-06-24	2014-06-24	2014-06-24	2014-06-24	2014-06-24
G3952	2014-06-24	precise	2014-06-24	2014-06-24	2014-06-24	2014-06-24	2014-06-24
G3953	2014-06-24	precise	2014-06-24	2014-06-24	2014-06-24	2014-06-24	2014-06-24
G3958	2014-06-24	precise	2014-06-24	2014-06-24	2014-06-24	2014-06-24	2014-06-24
G3962	2014-06-24	precise	2014-06-24	2014-06-24	2014-06-24	2014-06-24	2014-06-24
G3966	2014-06-24	precise	2014-06-24	2014-06-24	2014-06-24	2014-06-24	2014-06-24
G3972	2014-06-25	precise	2014-06-25	2014-06-25	2014-06-25	2014-06-25	2014-06-25
G3973-3	2014-06-28	precise	2014-06-28	2014-06-28	2014-06-28	2014-06-28	2014-06-28
G3974	2014-06-25	precise	2014-06-25	2014-06-25	2014-06-25	2014-06-25	2014-06-25
G3984	2014-06-26	precise	2014-06-26	2014-06-26	2014-06-26	2014-06-26	2014-06-26
G3991-2	2014-07-04	precise	2014-07-04	2014-07-04	2014-07-04	2014-07-04	2014-07-04
G3997-1	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4008	2014-07-04	precise	2014-07-04	2014-07-04	2014-07-04	2014-07-04	2014-07-04
G4010	2014-06-28	precise	2014-06-28	2014-06-28	2014-06-28	2014-06-28	2014-06-28
G4011	2014-06-28	precise	2014-06-28	2014-06-28	2014-06-28	2014-06-28	2014-06-28
G4024-2	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4028	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4032-2	2014-07-04	precise	2014-07-04	2014-07-04	2014-07-04	2014-07-04	2014-07-04
G4033-2	2014-06-28	precise	2014-06-28	2014-06-28	2014-06-28	2014-06-28	2014-06-28
G4034-2	2014-07-12	precise	2014-07-12	2014-07-12	2014-07-12	2014-07-12	2014-07-12
G4073	2014-06-30	precise	2014-06-30	2014-06-30	2014-06-30	2014-06-30	2014-06-30
G4074	2014-07-04	precise	2014-07-04	2014-07-04	2014-07-04	2014-07-04	2014-07-04
G4079	2014-07-04	precise	2014-07-04	2014-07-04	2014-07-04	2014-07-04	2014-07-04
G4086	2014-07-04	precise	2014-07-04	2014-07-04	2014-07-04	2014-07-04	2014-07-04
G4088	2014-07-04	precise	2014-07-04	2014-07-04	2014-07-04	2014-07-04	2014-07-04
G4095-2	2014-07-05	precise	2014-07-05	2014-07-05	2014-07-05	2014-07-05	2014-07-05
G4096	2014-07-04	precise	2014-07-04	2014-07-04	2014-07-04	2014-07-04	2014-07-04
G4097	2014-07-04	precise	2014-07-04	2014-07-04	2014-07-04	2014-07-04	2014-07-04
G4105	2014-07-04	precise	2014-07-04	2014-07-04	2014-07-04	2014-07-04	2014-07-04
G4110	2014-07-04	precise	2014-07-04	2014-07-04	2014-07-04	2014-07-04	2014-07-04
G4116	2014-07-05	precise	2014-07-05	2014-07-05	2014-07-05	2014-07-05	2014-07-05
G4118	2014-07-05	precise	2014-07-05	2014-07-05	2014-07-05	2014-07-05	2014-07-05
G4121	2014-07-07	precise	2014-07-07	2014-07-07	2014-07-07	2014-07-07	2014-07-07
G4122	2014-07-07	precise	2014-07-07	2014-07-07	2014-07-07	2014-07-07	2014-07-07
G4124	2014-07-07	precise	2014-07-07	2014-07-07	2014-07-07	2014-07-07	2014-07-07
G4125	2014-07-07	precise	2014-07-07	2014-07-07	2014-07-07	2014-07-07	2014-07-07
G4127-2	2014-07-04	precise	2014-07-04	2014-07-04	2014-07-04	2014-07-04	2014-07-04
G4131	2014-07-05	precise	2014-07-05	2014-07-05	2014-07-05	2014-07-05	2014-07-05
G4132	2014-07-05	precise	2014-07-05	2014-07-05	2014-07-05	2014-07-05	2014-07-05
G4133	2014-07-05	precise	2014-07-05	2014-07-05	2014-07-05	2014-07-05	2014-07-05
G4135	2014-07-05	precise	2014-07-05	2014-07-05	2014-07-05	2014-07-05	2014-07-05
G4141	2014-07-07	precise	2014-07-07	2014-07-07	2014-07-07	2014-07-07	2014-07-07
G4144	2014-07-07	precise	2014-07-07	2014-07-07	2014-07-07	2014-07-07	2014-07-07
G4146	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4147	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
