sample_id	date	precision	imputed_date	lower50_date	upper50_date	lower95_date	upper95_date
G5016	2014-XX-XX	imprecise	2014-08-16	2014-08-08	2014-08-26	2014-07-25	2014-09-17
G5019	2014-XX-XX	imprecise	2014-08-17	2014-08-08	2014-08-26	2014-07-25	2014-09-17
G5020	2014-XX-XX	imprecise	2014-08-17	2014-08-08	2014-08-26	2014-07-25	2014-09-18
G5021	2014-XX-XX	imprecise	2014-08-17	2014-08-08	2014-08-26	2014-07-25	2014-09-18
G5039	2014-XX-XX	imprecise	2014-08-18	2014-08-09	2014-08-28	2014-07-26	2014-09-20
G5044	2014-XX-XX	imprecise	2014-08-18	2014-08-10	2014-08-28	2014-07-26	2014-09-20
G5045	2014-XX-XX	imprecise	2014-08-19	2014-08-10	2014-08-29	2014-07-26	2014-09-20
G5059	2014-XX-XX	imprecise	2014-XX-XX	2014-XX-XX	2014-XX-XX	2014-XX-XX	2014-XX-XX
G5059	2014-XX-XX	imprecise	2014-08-20	2014-08-11	2014-08-30	2014-07-27	2014-09-22
G5064	2014-XX-XX	imprecise	2014-XX-XX	2014-XX-XX	2014-XX-XX	2014-XX-XX	2014-XX-XX
G5064	2014-XX-XX	imprecise	2014-08-20	2014-08-11	2014-08-30	2014-07-27	2014-09-23
G5103	2014-XX-XX	imprecise	2014-08-23	2014-08-14	2014-09-03	2014-07-30	2014-09-27
G5107	2014-XX-XX	imprecise	2014-08-24	2014-08-14	2014-09-03	2014-07-30	2014-09-28
